"Allele","#Ears","#IncLin","#DecLin","#TrueQuad","#NoPattern","%IncLin","%DecLin","%TrueQuad","%NoPattern","Increasing.Linear","Inc_Linear_Benji_Pass","Decreasing.Linear","Dec_Linear_Benji_Pass","Quadratic","Quadratic_Benji_Pass","Transmission_Rate_Spatial_GLM","Transmission_Rate_TR_GLM","Transmission_Defect","Transmission_Bias_Positive","TR_GLM_Adj_pval"
"R82C05",12,0,1,1,10,0,0.08,0.08,0.83,0.898079682129808,FALSE,0.0938928395417277,NA,0.523589703549074,NA,0.516798880074662,0.519421665947346,FALSE,FALSE,0.0674278458694753
"R83A02",15,0,0,0,15,0,0,0,1,0.517466136019333,FALSE,0.944956105450791,NA,0.995477793196427,NA,0.501007510533065,0.502737680438029,FALSE,FALSE,0.852096239396863
"R83B04",5,0,0,0,5,0,0,0,1,0.442162101372034,FALSE,0.63040137908572,NA,0.838576711227238,NA,0.5067497403946,0.510406811731315,FALSE,FALSE,0.574166566878716
"R84A12",28,0,2,1,25,0,0.07,0.04,0.89,0.962942091636708,FALSE,0.25471721976633,NA,0.837270542760551,NA,0.516891268229647,0.517828810020877,FALSE,TRUE,0.00359503861055099
"R87A03",6,1,0,1,4,0.17,0,0.17,0.67,0.282982078211141,FALSE,0.885106437565064,NA,0.316894743425694,NA,0.483501374885426,0.485275819162173,FALSE,FALSE,0.376693293958823
"R88B08",6,0,0,0,6,0,0,0,1,0.403991278097254,FALSE,0.801412303803421,NA,0.52381234703464,NA,0.507516848107828,0.50796626054358,FALSE,FALSE,0.697511525463996
"R91F11",7,0,1,0,6,0,0.14,0,0.86,0.92037429348866,FALSE,0.143843760058598,NA,0.787980954300255,NA,0.498843739676247,0.500751427712654,FALSE,FALSE,0.992243994027736
"R91G06",7,0,1,0,6,0,0.14,0,0.86,0.410551248251878,FALSE,0.292308620649215,NA,0.262957526971897,NA,0.505960729312763,0.510713143588104,FALSE,FALSE,0.485770692992397
"R92A10",12,1,1,0,10,0.08,0.08,0,0.83,0.32463362070354,FALSE,0.622719021366161,NA,0.519856015133958,NA,0.501875137877785,0.504332057223454,FALSE,FALSE,0.775462586726601
"R92F08",9,1,0,0,8,0.11,0,0,0.89,0.181235273243393,FALSE,0.905975578926083,NA,0.282263475130918,NA,0.490821256038647,0.49020181339573,FALSE,FALSE,0.485770692992397
"R95D10",15,1,2,0,12,0.07,0.13,0,0.8,0.348534531936311,FALSE,0.288851309856904,NA,0.128345695071721,NA,0.490870651547184,0.494905130007027,FALSE,FALSE,0.686004445120776
"R96B12",12,1,0,0,11,0.08,0,0,0.92,0.410348067510487,FALSE,0.188278954745049,NA,0.565558319138872,NA,0.519214876033058,0.518204112431617,FALSE,FALSE,0.0674278458694753
"R96C12",17,0,2,0,15,0,0.12,0,0.88,0.956054438391883,FALSE,0.191384326064027,NA,0.379511569725702,NA,0.499583957397237,0.498787143723469,FALSE,FALSE,0.950044517555229
"R99B02",7,0,0,0,7,0,0,0,1,0.552477039602869,FALSE,0.78832531080318,NA,0.867973631780783,NA,0.504894578313253,0.508977900552486,FALSE,FALSE,0.574166566878716
